Name,Type,Latitude,Longitude,Location,wikilink,pic,Year
Stonehenge,Medieval,51.17861111,-1.826111111,"Amesbury, United Kingdom",http://en.wikipedia.org/wiki/Stonehenge,https://th-thumbnailer.cdn-si-edu.com/g7SlMbJRNFY2yLdXC6_df9Vu_Qc=/fit-in/1600x0/filters:focal(2449x1609:2450x1610)/https%3A%2F%2Ftf-cmsv2-smithsonianmag-media.s3.amazonaws.com%2Ffiler%2Fb9%2Fa3%2Fb9a38fcd-9f70-47c0-ab1b-2048babbbd0e%2Fgettyimages-168275847.jpg,2400 BC
Lighthouse of Alexandria,Ancient,31.21388889,29.88555556," Alexandria, Egypt",http://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,https://images.memphistours.com/large/786117789_Lighthouse%20of%20Alexandria.jpg,280 BC
Hanging Gardens of Babylon,Ancient,33.5355,44.2475,Iraq,http://en.wikipedia.org/wiki/Hanging_Gardens_of_Babylon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hanging_Gardens_of_Babylon.jpg/350px-Hanging_Gardens_of_Babylon.jpg,600 BC
Hagia Sophia,Medieval,41.008548,28.979938,"Istanbul, Turkey",http://en.wikipedia.org/wiki/Hagia_Sophia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/250px-Hagia_Sophia_Mars_2013.jpg,537  AD
Colossus of Rhodes,Ancient,36.4511,28.2278,Greece,http://en.wikipedia.org/wiki/Colossus_of_Rhodes,https://th.bing.com/th/id/OIP.jg_PlCjUbZbyHQTvKh-xvgHaFS?rs=1&pid=ImgDetMain,292 BC
Mausoleum at Halicarnassus,Ancient,37.03777778,27.42416667,"Bodrum, Turkey",http://en.wikipedia.org/wiki/Mausoleum_at_Halicarnassus,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Mausoleum_of_Halicarnassus_2009.jpg/240px-Mausoleum_of_Halicarnassus_2009.jpg, 353 BC
Statue of Zeus at Olympia,Ancient,37.63777778,21.63,Greece,http://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Statue_of_Zeus.jpg/220px-Statue_of_Zeus.jpg, 466 BC
Temple of Artemis at Ephesus,Ancient,37.94972222,27.36388889,Turkey,http://en.wikipedia.org/wiki/Temple_of_Artemis,https://shorturl.at/q5FyG, 550 BCE
Golden Gate Bridge,Civil,37.81972222,-122.4786111,"San Francisco,  United States",http://en.wikipedia.org/wiki/Golden_Gate_Bridge,https://th.bing.com/th/id/OIP.aCgwWHMCB-PhEh1Bu0dtPAHaE7?rs=1&pid=ImgDetMain,1933
CN Tower,Civil,43.6425,-78.61305556,"Toronto, Canada.",http://en.wikipedia.org/wiki/CN_Tower,https://th.bing.com/th/id/R.775cce05753c581e5100407ea3a88328?rik=RT9REZpoDbPN1Q&riu=http%3a%2f%2f4.bp.blogspot.com%2f-MQ0ZCMEChUE%2fTbI5cxRUC-I%2fAAAAAAAAAeo%2fFF1PMAQ0xK4%2fs1600%2fCN_Tower.jpg&ehk=D3D%2bHFJxlwIN6jzJWDo7AvHbGmCJ8yohz7ezZ4onXwE%3d&risl=&pid=ImgRaw&r=0,1973
